segment_length;buffer_size;lr;mlbs;bandwidth;count;median(buffer_underrruns);mean(buffer_underrruns);stdev(buffer_underrruns);min(buffer_underrruns);q1(buffer_underrruns);q3(buffer_underrruns);max(buffer_underrruns)
2;4;0,6;5;7 000;3;4;4,333;0,577;4;4;5;5
2;4;0,6;5;8 000;3;2;2;1;1;1;3;3
2;4;0,6;5;8 500;3;0;0,667;1,155;0;0;2;2
2;4;0,6;5;9 000;3;0;0,333;0,577;0;0;1;1
2;4;0,6;5;9 500;3;0;0,333;0,577;0;0;1;1
2;4;0,6;5;10 000;3;0;0,333;0,577;0;0;1;1
2;4;0,6;5;15 000;3;0;0;0;0;0;0;0
2;4;0,6;30;7 000;3;4;4,333;0,577;4;4;5;5
2;4;0,6;30;8 000;3;2;2;1;1;1;3;3
2;4;0,6;30;8 500;3;0;0,667;1,155;0;0;2;2
2;4;0,6;30;9 000;3;0;0,333;0,577;0;0;1;1
2;4;0,6;30;9 500;3;0;0,333;0,577;0;0;1;1
2;4;0,6;30;10 000;3;0;0,333;0,577;0;0;1;1
2;4;0,6;30;15 000;3;0;0;0;0;0;0;0
2;4;0,6;50;7 000;3;4;4,333;0,577;4;4;5;5
2;4;0,6;50;8 000;3;2;2;1;1;1;3;3
2;4;0,6;50;8 500;3;0;0,667;1,155;0;0;2;2
2;4;0,6;50;9 000;3;0;0,333;0,577;0;0;1;1
2;4;0,6;50;9 500;3;0;0,333;0,577;0;0;1;1
2;4;0,6;50;10 000;3;0;0,333;0,577;0;0;1;1
2;4;0,6;50;15 000;3;0;0;0;0;0;0;0
2;4;1,2;5;7 000;3;4;4,333;0,577;4;4;5;5
2;4;1,2;5;8 000;3;2;2;1;1;1;3;3
2;4;1,2;5;8 500;3;0;0,667;1,155;0;0;2;2
2;4;1,2;5;9 000;3;0;0,333;0,577;0;0;1;1
2;4;1,2;5;9 500;3;0;0,333;0,577;0;0;1;1
2;4;1,2;5;10 000;3;0;0,333;0,577;0;0;1;1
2;4;1,2;5;15 000;3;0;0;0;0;0;0;0
2;4;1,2;30;7 000;3;4;4,333;0,577;4;4;5;5
2;4;1,2;30;8 000;3;2;2;1;1;1;3;3
2;4;1,2;30;8 500;3;0;0,667;1,155;0;0;2;2
2;4;1,2;30;9 000;3;0;0,333;0,577;0;0;1;1
2;4;1,2;30;9 500;3;0;0,333;0,577;0;0;1;1
2;4;1,2;30;10 000;3;0;0,333;0,577;0;0;1;1
2;4;1,2;30;15 000;3;0;0;0;0;0;0;0
2;4;1,2;50;7 000;3;4;4,333;0,577;4;4;5;5
2;4;1,2;50;8 000;3;2;2;1;1;1;3;3
2;4;1,2;50;8 500;3;0;0,667;1,155;0;0;2;2
2;4;1,2;50;9 000;3;0;0,333;0,577;0;0;1;1
2;4;1,2;50;9 500;3;0;0,333;0,577;0;0;1;1
2;4;1,2;50;10 000;3;0;0,333;0,577;0;0;1;1
2;4;1,2;50;15 000;3;0;0;0;0;0;0;0
2;4;2,4;5;7 000;3;4;4,333;0,577;4;4;5;5
2;4;2,4;5;8 000;3;2;2,333;0,577;2;2;3;3
2;4;2,4;5;8 500;3;1;1;1;0;0;2;2
2;4;2,4;5;9 000;3;0;0,333;0,577;0;0;1;1
2;4;2,4;5;9 500;3;0;0,333;0,577;0;0;1;1
2;4;2,4;5;10 000;3;0;0,333;0,577;0;0;1;1
2;4;2,4;5;15 000;3;0;0;0;0;0;0;0
2;4;2,4;30;7 000;3;4;4,333;0,577;4;4;5;5
2;4;2,4;30;8 000;3;2;2;1;1;1;3;3
2;4;2,4;30;8 500;3;0;0,667;1,155;0;0;2;2
2;4;2,4;30;9 000;3;0;0,333;0,577;0;0;1;1
2;4;2,4;30;9 500;3;0;0,333;0,577;0;0;1;1
2;4;2,4;30;10 000;3;0;0,333;0,577;0;0;1;1
2;4;2,4;30;15 000;3;0;0;0;0;0;0;0
2;4;2,4;50;7 000;3;4;4,333;0,577;4;4;5;5
2;4;2,4;50;8 000;3;2;2;1;1;1;3;3
2;4;2,4;50;8 500;3;0;0,667;1,155;0;0;2;2
2;4;2,4;50;9 000;3;0;0,333;0,577;0;0;1;1
2;4;2,4;50;9 500;3;0;0,333;0,577;0;0;1;1
2;4;2,4;50;10 000;3;0;0,333;0,577;0;0;1;1
2;4;2,4;50;15 000;3;0;0;0;0;0;0;0
2;4;4,8;5;7 000;3;5;5;1;4;4;6;6
2;4;4,8;5;8 000;3;2;2;1;1;1;3;3
2;4;4,8;5;8 500;3;1;1;1;0;0;2;2
2;4;4,8;5;9 000;3;0;0,333;0,577;0;0;1;1
2;4;4,8;5;9 500;3;0;0,333;0,577;0;0;1;1
2;4;4,8;5;10 000;3;0;0,333;0,577;0;0;1;1
2;4;4,8;5;15 000;3;0;0;0;0;0;0;0
2;4;4,8;30;7 000;3;4;4,333;0,577;4;4;5;5
2;4;4,8;30;8 000;3;2;2;1;1;1;3;3
2;4;4,8;30;8 500;3;1;1;1;0;0;2;2
2;4;4,8;30;9 000;3;0;0,333;0,577;0;0;1;1
2;4;4,8;30;9 500;3;0;0,333;0,577;0;0;1;1
2;4;4,8;30;10 000;3;0;0,333;0,577;0;0;1;1
2;4;4,8;30;15 000;3;0;0;0;0;0;0;0
2;4;4,8;50;7 000;3;4;4,333;0,577;4;4;5;5
2;4;4,8;50;8 000;3;2;2;1;1;1;3;3
2;4;4,8;50;8 500;3;0;0,667;1,155;0;0;2;2
2;4;4,8;50;9 000;3;0;0,333;0,577;0;0;1;1
2;4;4,8;50;9 500;3;0;0,333;0,577;0;0;1;1
2;4;4,8;50;10 000;3;0;0,333;0,577;0;0;1;1
2;4;4,8;50;15 000;3;0;0;0;0;0;0;0
2;4;9,6;5;7 000;3;10;10,333;0,577;10;10;11;11
2;4;9,6;5;8 000;3;10;9,333;1,155;8;8;10;10
2;4;9,6;5;8 500;3;9;9;1;8;8;10;10
2;4;9,6;5;9 000;3;9;8,667;0,577;8;8;9;9
2;4;9,6;5;9 500;3;8;8;1;7;7;9;9
2;4;9,6;5;10 000;3;8;8;0;8;8;8;8
2;4;9,6;5;15 000;3;7;6,667;0,577;6;6;7;7
2;4;9,6;30;7 000;3;4;4,333;0,577;4;4;5;5
2;4;9,6;30;8 000;3;2;2;1;1;1;3;3
2;4;9,6;30;8 500;3;0;0,667;1,155;0;0;2;2
2;4;9,6;30;9 000;3;0;0,333;0,577;0;0;1;1
2;4;9,6;30;9 500;3;0;0,333;0,577;0;0;1;1
2;4;9,6;30;10 000;3;0;0,333;0,577;0;0;1;1
2;4;9,6;30;15 000;3;0;0;0;0;0;0;0
2;4;9,6;50;7 000;3;4;4,333;0,577;4;4;5;5
2;4;9,6;50;8 000;3;2;2;1;1;1;3;3
2;4;9,6;50;8 500;3;0;0,667;1,155;0;0;2;2
2;4;9,6;50;9 000;3;0;0,333;0,577;0;0;1;1
2;4;9,6;50;9 500;3;0;0,333;0,577;0;0;1;1
2;4;9,6;50;10 000;3;0;0,333;0,577;0;0;1;1
2;4;9,6;50;15 000;3;0;0;0;0;0;0;0
2;4;14,4;30;7 000;3;5;5,333;0,577;5;5;6;6
2;4;14,4;30;8 000;3;3;2,667;0,577;2;2;3;3
2;4;14,4;30;8 500;3;2;2,333;0,577;2;2;3;3
2;4;14,4;30;9 000;3;0;0,667;1,155;0;0;2;2
2;4;14,4;30;9 500;3;0;0,333;0,577;0;0;1;1
2;4;14,4;30;10 000;3;0;0,333;0,577;0;0;1;1
2;4;14,4;30;15 000;3;0;0;0;0;0;0;0
2;4;14,4;50;7 000;3;5;4,667;0,577;4;4;5;5
2;4;14,4;50;8 000;3;2;2;1;1;1;3;3
2;4;14,4;50;8 500;3;0;0,667;1,155;0;0;2;2
2;4;14,4;50;9 000;3;0;0,333;0,577;0;0;1;1
2;4;14,4;50;9 500;3;0;0,333;0,577;0;0;1;1
2;4;14,4;50;10 000;3;0;0,333;0,577;0;0;1;1
2;4;14,4;50;15 000;3;0;0;0;0;0;0;0
2;4;19,2;30;7 000;3;11;11,667;1,155;11;11;13;13
2;4;19,2;30;8 000;3;10;10,667;1,155;10;10;12;12
2;4;19,2;30;8 500;3;10;10,333;0,577;10;10;11;11
2;4;19,2;30;9 000;3;11;10,333;1,155;9;9;11;11
2;4;19,2;30;9 500;3;10;10;1;9;9;11;11
2;4;19,2;30;10 000;3;11;10,667;0,577;10;10;11;11
2;4;19,2;30;15 000;3;9;9,333;0,577;9;9;10;10
2;4;19,2;50;7 000;3;5;5;1;4;4;6;6
2;4;19,2;50;8 000;3;2;2;1;1;1;3;3
2;4;19,2;50;8 500;3;1;1,333;1,528;0;0;3;3
2;4;19,2;50;9 000;3;1;1;1;0;0;2;2
2;4;19,2;50;9 500;3;0;0,333;0,577;0;0;1;1
2;4;19,2;50;10 000;3;0;0,333;0,577;0;0;1;1
2;4;19,2;50;15 000;3;0;0;0;0;0;0;0
2;12;0,00;5;7 000;3;4;4,333;0,577;4;4;5;5
2;12;0,00;5;8 000;3;2;2;1;1;1;3;3
2;12;0,00;5;8 500;3;0;0,667;1,155;0;0;2;2
2;12;0,00;5;9 000;3;0;0,333;0,577;0;0;1;1
2;12;0,00;5;9 500;3;0;0;0;0;0;0;0
2;12;0,00;5;10 000;3;0;0;0;0;0;0;0
2;12;0,00;5;15 000;3;0;0;0;0;0;0;0
2;12;0,00;30;7 000;3;4;4,333;0,577;4;4;5;5
2;12;0,00;30;8 000;3;2;2;1;1;1;3;3
2;12;0,00;30;8 500;3;0;0,667;1,155;0;0;2;2
2;12;0,00;30;9 000;3;0;0,333;0,577;0;0;1;1
2;12;0,00;30;9 500;3;0;0;0;0;0;0;0
2;12;0,00;30;10 000;3;0;0;0;0;0;0;0
2;12;0,00;30;15 000;3;0;0;0;0;0;0;0
2;12;0,00;50;7 000;3;4;4,333;0,577;4;4;5;5
2;12;0,00;50;8 000;3;2;2;1;1;1;3;3
2;12;0,00;50;8 500;3;0;0,667;1,155;0;0;2;2
2;12;0,00;50;9 000;3;0;0,333;0,577;0;0;1;1
2;12;0,00;50;9 500;3;0;0;0;0;0;0;0
2;12;0,00;50;10 000;3;0;0;0;0;0;0;0
2;12;0,00;50;15 000;3;0;0;0;0;0;0;0
2;12;0,3;5;7 000;3;4;4,333;0,577;4;4;5;5
2;12;0,3;5;8 000;3;2;2;1;1;1;3;3
2;12;0,3;5;8 500;3;0;0,667;1,155;0;0;2;2
2;12;0,3;5;9 000;3;0;0,333;0,577;0;0;1;1
2;12;0,3;5;9 500;3;0;0;0;0;0;0;0
2;12;0,3;5;10 000;3;0;0;0;0;0;0;0
2;12;0,3;5;15 000;3;0;0;0;0;0;0;0
2;12;0,3;30;7 000;3;4;4,333;0,577;4;4;5;5
2;12;0,3;30;8 000;3;2;2;1;1;1;3;3
2;12;0,3;30;8 500;3;0;0,667;1,155;0;0;2;2
2;12;0,3;30;9 000;3;0;0,333;0,577;0;0;1;1
2;12;0,3;30;9 500;3;0;0;0;0;0;0;0
2;12;0,3;30;10 000;3;0;0;0;0;0;0;0
2;12;0,3;30;15 000;3;0;0;0;0;0;0;0
2;12;0,3;50;7 000;3;4;4,333;0,577;4;4;5;5
2;12;0,3;50;8 000;3;2;2;1;1;1;3;3
2;12;0,3;50;8 500;3;0;0,667;1,155;0;0;2;2
2;12;0,3;50;9 000;3;0;0,333;0,577;0;0;1;1
2;12;0,3;50;9 500;3;0;0;0;0;0;0;0
2;12;0,3;50;10 000;3;0;0;0;0;0;0;0
2;12;0,3;50;15 000;3;0;0;0;0;0;0;0
2;12;0,6;5;7 000;3;4;4,333;0,577;4;4;5;5
2;12;0,6;5;8 000;3;2;2;1;1;1;3;3
2;12;0,6;5;8 500;3;0;0,667;1,155;0;0;2;2
2;12;0,6;5;9 000;3;0;0,333;0,577;0;0;1;1
2;12;0,6;5;9 500;3;0;0;0;0;0;0;0
2;12;0,6;5;10 000;3;0;0;0;0;0;0;0
2;12;0,6;5;15 000;3;0;0;0;0;0;0;0
2;12;0,6;30;7 000;3;4;4,333;0,577;4;4;5;5
2;12;0,6;30;8 000;3;2;2;1;1;1;3;3
2;12;0,6;30;8 500;3;0;0,667;1,155;0;0;2;2
2;12;0,6;30;9 000;3;0;0,333;0,577;0;0;1;1
2;12;0,6;30;9 500;3;0;0;0;0;0;0;0
2;12;0,6;30;10 000;3;0;0;0;0;0;0;0
2;12;0,6;30;15 000;3;0;0;0;0;0;0;0
2;12;0,6;50;7 000;3;4;4,333;0,577;4;4;5;5
2;12;0,6;50;8 000;3;2;2;1;1;1;3;3
2;12;0,6;50;8 500;3;0;0,667;1,155;0;0;2;2
2;12;0,6;50;9 000;3;0;0,333;0,577;0;0;1;1
2;12;0,6;50;9 500;3;0;0;0;0;0;0;0
2;12;0,6;50;10 000;3;0;0;0;0;0;0;0
2;12;0,6;50;15 000;3;0;0;0;0;0;0;0
2;12;1,2;5;7 000;3;4;4,333;0,577;4;4;5;5
2;12;1,2;5;8 000;3;2;2;1;1;1;3;3
2;12;1,2;5;8 500;3;0;0,667;1,155;0;0;2;2
2;12;1,2;5;9 000;3;0;0,333;0,577;0;0;1;1
2;12;1,2;5;9 500;3;0;0;0;0;0;0;0
2;12;1,2;5;10 000;3;0;0;0;0;0;0;0
2;12;1,2;5;15 000;3;0;0;0;0;0;0;0
2;12;1,2;30;7 000;3;4;4,333;0,577;4;4;5;5
2;12;1,2;30;8 000;3;2;2;1;1;1;3;3
2;12;1,2;30;8 500;3;0;0,667;1,155;0;0;2;2
2;12;1,2;30;9 000;3;0;0,333;0,577;0;0;1;1
2;12;1,2;30;9 500;3;0;0;0;0;0;0;0
2;12;1,2;30;10 000;3;0;0;0;0;0;0;0
2;12;1,2;30;15 000;3;0;0;0;0;0;0;0
2;12;1,2;50;7 000;3;4;4,333;0,577;4;4;5;5
2;12;1,2;50;8 000;3;2;2;1;1;1;3;3
2;12;1,2;50;8 500;3;0;0,667;1,155;0;0;2;2
2;12;1,2;50;9 000;3;0;0,333;0,577;0;0;1;1
2;12;1,2;50;9 500;3;0;0;0;0;0;0;0
2;12;1,2;50;10 000;3;0;0;0;0;0;0;0
2;12;1,2;50;15 000;3;0;0;0;0;0;0;0
2;12;2,4;5;7 000;3;4;4,333;0,577;4;4;5;5
2;12;2,4;5;8 000;3;2;2;1;1;1;3;3
2;12;2,4;5;8 500;3;0;0,667;1,155;0;0;2;2
2;12;2,4;5;9 000;3;0;0,333;0,577;0;0;1;1
2;12;2,4;5;9 500;3;0;0;0;0;0;0;0
2;12;2,4;5;10 000;3;0;0;0;0;0;0;0
2;12;2,4;5;15 000;3;0;0;0;0;0;0;0
2;12;2,4;30;7 000;3;4;4,333;0,577;4;4;5;5
2;12;2,4;30;8 000;3;2;2;1;1;1;3;3
2;12;2,4;30;8 500;3;0;0,667;1,155;0;0;2;2
2;12;2,4;30;9 000;3;0;0,333;0,577;0;0;1;1
2;12;2,4;30;9 500;3;0;0;0;0;0;0;0
2;12;2,4;30;10 000;3;0;0;0;0;0;0;0
2;12;2,4;30;15 000;3;0;0;0;0;0;0;0
2;12;2,4;50;7 000;3;4;4,333;0,577;4;4;5;5
2;12;2,4;50;8 000;3;2;2;1;1;1;3;3
2;12;2,4;50;8 500;3;0;0,667;1,155;0;0;2;2
2;12;2,4;50;9 000;3;0;0,333;0,577;0;0;1;1
2;12;2,4;50;9 500;3;0;0;0;0;0;0;0
2;12;2,4;50;10 000;3;0;0;0;0;0;0;0
2;12;2,4;50;15 000;3;0;0;0;0;0;0;0
2;12;4,8;5;7 000;3;5;4,667;0,577;4;4;5;5
2;12;4,8;5;8 000;3;2;2;1;1;1;3;3
2;12;4,8;5;8 500;3;1;1;1;0;0;2;2
2;12;4,8;5;9 000;3;0;0,333;0,577;0;0;1;1
2;12;4,8;5;9 500;3;0;0;0;0;0;0;0
2;12;4,8;5;10 000;3;0;0;0;0;0;0;0
2;12;4,8;5;15 000;3;0;0;0;0;0;0;0
2;12;4,8;30;7 000;3;4;4,333;0,577;4;4;5;5
2;12;4,8;30;8 000;3;2;2;1;1;1;3;3
2;12;4,8;30;8 500;3;0;0,667;1,155;0;0;2;2
2;12;4,8;30;9 000;3;0;0,333;0,577;0;0;1;1
2;12;4,8;30;9 500;3;0;0;0;0;0;0;0
2;12;4,8;30;10 000;3;0;0;0;0;0;0;0
2;12;4,8;30;15 000;3;0;0;0;0;0;0;0
2;12;4,8;50;7 000;3;4;4,333;0,577;4;4;5;5
2;12;4,8;50;8 000;3;2;2;1;1;1;3;3
2;12;4,8;50;8 500;3;0;0,667;1,155;0;0;2;2
2;12;4,8;50;9 000;3;0;0,333;0,577;0;0;1;1
2;12;4,8;50;9 500;3;0;0;0;0;0;0;0
2;12;4,8;50;10 000;3;0;0;0;0;0;0;0
2;12;4,8;50;15 000;3;0;0;0;0;0;0;0
2;12;9,6;5;7 000;3;11;10,667;0,577;10;10;11;11
2;12;9,6;5;8 000;3;9;8,667;0,577;8;8;9;9
2;12;9,6;5;8 500;3;8;7,333;1,155;6;6;8;8
2;12;9,6;5;9 000;3;8;8,333;0,577;8;8;9;9
2;12;9,6;5;9 500;3;9;8,333;1,155;7;7;9;9
2;12;9,6;5;10 000;3;7;7;0;7;7;7;7
2;12;9,6;5;15 000;3;6;5,667;1,528;4;4;7;7
2;12;9,6;30;7 000;3;4;4,333;0,577;4;4;5;5
2;12;9,6;30;8 000;3;2;2;1;1;1;3;3
2;12;9,6;30;8 500;3;0;0,667;1,155;0;0;2;2
2;12;9,6;30;9 000;3;0;0,333;0,577;0;0;1;1
2;12;9,6;30;9 500;3;0;0;0;0;0;0;0
2;12;9,6;30;10 000;3;0;0;0;0;0;0;0
2;12;9,6;30;15 000;3;0;0;0;0;0;0;0
2;12;9,6;50;7 000;3;4;4,333;0,577;4;4;5;5
2;12;9,6;50;8 000;3;2;2;1;1;1;3;3
2;12;9,6;50;8 500;3;0;0,667;1,155;0;0;2;2
2;12;9,6;50;9 000;3;0;0,333;0,577;0;0;1;1
2;12;9,6;50;9 500;3;0;0;0;0;0;0;0
2;12;9,6;50;10 000;3;0;0;0;0;0;0;0
2;12;9,6;50;15 000;3;0;0;0;0;0;0;0
2;12;14,4;30;7 000;3;5;5;0;5;5;5;5
2;12;14,4;30;8 000;3;2;2,667;1,155;2;2;4;4
2;12;14,4;30;8 500;3;2;2;1;1;1;3;3
2;12;14,4;30;9 000;3;1;1,333;1,528;0;0;3;3
2;12;14,4;30;9 500;3;0;0,667;1,155;0;0;2;2
2;12;14,4;30;10 000;3;0;0,333;0,577;0;0;1;1
2;12;14,4;30;15 000;3;0;0,333;0,577;0;0;1;1
2;12;14,4;50;7 000;3;4;4,333;0,577;4;4;5;5
2;12;14,4;50;8 000;3;2;2;1;1;1;3;3
2;12;14,4;50;8 500;3;1;1;1;0;0;2;2
2;12;14,4;50;9 000;3;0;0,333;0,577;0;0;1;1
2;12;14,4;50;9 500;3;0;0;0;0;0;0;0
2;12;14,4;50;10 000;3;0;0;0;0;0;0;0
2;12;14,4;50;15 000;3;0;0;0;0;0;0;0
2;12;19,2;30;7 000;3;11;11;1;10;10;12;12
2;12;19,2;30;8 000;3;11;11,333;0,577;11;11;12;12
2;12;19,2;30;8 500;3;10;10,667;1,155;10;10;12;12
2;12;19,2;30;9 000;3;12;11,667;1,528;10;10;13;13
2;12;19,2;30;9 500;3;10;10,667;1,155;10;10;12;12
2;12;19,2;30;10 000;3;11;10,667;0,577;10;10;11;11
2;12;19,2;30;15 000;2;10;10;1,414;9;9;11;11
2;12;19,2;50;7 000;3;5;5,333;0,577;5;5;6;6
2;12;19,2;50;8 000;3;2;2,333;0,577;2;2;3;3
2;12;19,2;50;8 500;3;1;1,333;0,577;1;1;2;2
2;12;19,2;50;9 000;3;0;0,333;0,577;0;0;1;1
2;12;19,2;50;9 500;3;0;0,333;0,577;0;0;1;1
2;12;19,2;50;10 000;3;0;0;0;0;0;0;0
2;12;19,2;50;15 000;3;0;0;0;0;0;0;0
2;16;0,00;5;7 000;3;4;4,333;0,577;4;4;5;5
2;16;0,00;5;8 000;3;2;2;1;1;1;3;3
2;16;0,00;5;8 500;3;0;0,667;1,155;0;0;2;2
2;16;0,00;5;9 000;3;0;0,333;0,577;0;0;1;1
2;16;0,00;5;9 500;3;0;0;0;0;0;0;0
2;16;0,00;5;10 000;3;0;0;0;0;0;0;0
2;16;0,00;5;15 000;3;0;0;0;0;0;0;0
2;16;0,00;30;7 000;3;4;4,333;0,577;4;4;5;5
2;16;0,00;30;8 000;3;2;2;1;1;1;3;3
2;16;0,00;30;8 500;3;0;0,667;1,155;0;0;2;2
2;16;0,00;30;9 000;3;0;0,333;0,577;0;0;1;1
2;16;0,00;30;9 500;3;0;0;0;0;0;0;0
2;16;0,00;30;10 000;3;0;0;0;0;0;0;0
2;16;0,00;30;15 000;3;0;0;0;0;0;0;0
2;16;0,00;50;7 000;3;4;4,333;0,577;4;4;5;5
2;16;0,00;50;8 000;3;2;2;1;1;1;3;3
2;16;0,00;50;8 500;3;0;0,667;1,155;0;0;2;2
2;16;0,00;50;9 000;3;0;0,333;0,577;0;0;1;1
2;16;0,00;50;9 500;3;0;0;0;0;0;0;0
2;16;0,00;50;10 000;3;0;0;0;0;0;0;0
2;16;0,00;50;15 000;3;0;0;0;0;0;0;0
2;16;0,3;5;7 000;3;4;4,333;0,577;4;4;5;5
2;16;0,3;5;8 000;3;2;2;1;1;1;3;3
2;16;0,3;5;8 500;3;0;0,667;1,155;0;0;2;2
2;16;0,3;5;9 000;3;0;0,333;0,577;0;0;1;1
2;16;0,3;5;9 500;3;0;0;0;0;0;0;0
2;16;0,3;5;10 000;3;0;0;0;0;0;0;0
2;16;0,3;5;15 000;3;0;0;0;0;0;0;0
2;16;0,3;30;7 000;3;4;4,333;0,577;4;4;5;5
2;16;0,3;30;8 000;3;2;2;1;1;1;3;3
2;16;0,3;30;8 500;3;0;0,667;1,155;0;0;2;2
2;16;0,3;30;9 000;3;0;0,333;0,577;0;0;1;1
2;16;0,3;30;9 500;3;0;0;0;0;0;0;0
2;16;0,3;30;10 000;3;0;0;0;0;0;0;0
2;16;0,3;30;15 000;3;0;0;0;0;0;0;0
2;16;0,3;50;7 000;3;4;4,333;0,577;4;4;5;5
2;16;0,3;50;8 000;3;2;2;1;1;1;3;3
2;16;0,3;50;8 500;3;0;0,667;1,155;0;0;2;2
2;16;0,3;50;9 000;3;0;0,333;0,577;0;0;1;1
2;16;0,3;50;9 500;3;0;0;0;0;0;0;0
2;16;0,3;50;10 000;3;0;0;0;0;0;0;0
2;16;0,3;50;15 000;3;0;0;0;0;0;0;0
2;16;0,6;5;7 000;3;4;4,333;0,577;4;4;5;5
2;16;0,6;5;8 000;3;2;2;1;1;1;3;3
2;16;0,6;5;8 500;3;0;0,667;1,155;0;0;2;2
2;16;0,6;5;9 000;3;0;0,333;0,577;0;0;1;1
2;16;0,6;5;9 500;3;0;0;0;0;0;0;0
2;16;0,6;5;10 000;3;0;0;0;0;0;0;0
2;16;0,6;5;15 000;3;0;0;0;0;0;0;0
2;16;0,6;30;7 000;3;4;4,333;0,577;4;4;5;5
2;16;0,6;30;8 000;3;2;2;1;1;1;3;3
2;16;0,6;30;8 500;3;0;0,667;1,155;0;0;2;2
2;16;0,6;30;9 000;3;0;0,333;0,577;0;0;1;1
2;16;0,6;30;9 500;3;0;0;0;0;0;0;0
2;16;0,6;30;10 000;3;0;0;0;0;0;0;0
2;16;0,6;30;15 000;3;0;0;0;0;0;0;0
2;16;0,6;50;7 000;3;4;4,333;0,577;4;4;5;5
2;16;0,6;50;8 000;3;2;2;1;1;1;3;3
2;16;0,6;50;8 500;3;0;0,667;1,155;0;0;2;2
2;16;0,6;50;9 000;3;0;0,333;0,577;0;0;1;1
2;16;0,6;50;9 500;3;0;0;0;0;0;0;0
2;16;0,6;50;10 000;3;0;0;0;0;0;0;0
2;16;0,6;50;15 000;3;0;0;0;0;0;0;0
2;16;1,2;5;7 000;3;4;4,333;0,577;4;4;5;5
2;16;1,2;5;8 000;3;2;2;1;1;1;3;3
2;16;1,2;5;8 500;3;0;0,667;1,155;0;0;2;2
2;16;1,2;5;9 000;3;0;0,333;0,577;0;0;1;1
2;16;1,2;5;9 500;3;0;0;0;0;0;0;0
2;16;1,2;5;10 000;3;0;0;0;0;0;0;0
2;16;1,2;5;15 000;3;0;0;0;0;0;0;0
2;16;1,2;30;7 000;3;4;4,333;0,577;4;4;5;5
2;16;1,2;30;8 000;3;2;2;1;1;1;3;3
2;16;1,2;30;8 500;3;0;0,667;1,155;0;0;2;2
2;16;1,2;30;9 000;3;0;0,333;0,577;0;0;1;1
2;16;1,2;30;9 500;3;0;0;0;0;0;0;0
2;16;1,2;30;10 000;3;0;0;0;0;0;0;0
2;16;1,2;30;15 000;3;0;0;0;0;0;0;0
