id, movie, segment_length, buffer_size, adaptation, representation, max_br, lr, mlbs, delay, jitter, bandwidth, avg_response_t, avg_throughput, buffer_underrruns, stall_time, initial_delay, total_time
001, transformers, 10, 8, False, 2, 0, 0.6, 30, 0, 0, 15000, 5.35181444032, 14297508, 0, 0, 5.5353910923, 70.2572219372
002, transformers, 6, 8, False, 2, 0, 19.2, 5, 0, 0, 9500, 46.0352666378, 831387, 4, 496.005187035, 88.499502182, 654.504640102
003, transformers, 2, 4, False, 2, 0, 0, 50, 0, 0, 8000, 2.33843296369, 7631344, 1, 8.8664419651, 4.50139808655, 73.3681671619
004, transformers, 2, 8, False, 2, 0, 0, 50, 0, 0, 10000, 1.87185792923, 9533593, 0, 0, 7.83770895004, 67.8382718563
005, transformers, 2, 4, False, 2, 0, 4.8, 5, 0, 0, 15000, 1.29021097024, 14000544, 0, 0, 2.40782499313, 63.8784070015
006, transformers, 10, 16, False, 2, 0, 1.2, 30, 0, 0, 9500, 8.44561086382, 9063172, 0, 0, 16.6943099499, 79.6946771145
007, transformers, 10, 2, False, 2, 0, 4.8, 5, 0, 0, 9500, 8.44014855794, 9067005, 0, 0, 8.73035001755, 71.7306969166
008, transformers, 6, 4, False, 2, 0, 0, 30, 0, 0, 15000, 2.67771857125, 14291243, 0, 0, 2.49243688583, 74.6645278931
009, transformers, 6, 16, False, 2, 0, 4.8, 30, 0, 0, 9000, 4.45519789628, 8588842, 0, 0, 17.6325139999, 87.6332159042
010, transformers, 2, 2, False, 2, 0, 19.2, 30, 0, 0, 15000, 4.31501108805, 4928000, 8, 56.4277601242, 15.5364339352, 131.965374947
011, transformers, 2, 8, False, 2, 0, 9.6, 30, 0, 0, 8500, 2.20107964675, 8107590, 1, 5.42835497856, 9.21474003792, 74.6436049938
012, transformers, 2, 2, False, 2, 0, 0, 30, 0, 0, 9000, 2.07909114361, 8582760, 2, 7.36369895935, 2.11835193634, 70.603618145
013, transformers, 10, 2, False, 2, 0, 19.2, 50, 0, 0, 8000, 10.1391841003, 7540383, 1, 0.941235780716, 10.3958380222, 73.3964140415
014, transformers, 2, 8, False, 2, 0, 0.6, 30, 0, 0, 9500, 1.97019546032, 9057794, 0, 0, 8.25077104568, 68.2513549328
